Designator,Footprint,Quantity,Value,LCSC Part #,price,
"C1, C2",0805,2,10uF,C440198,0.0723,
"D1, D2",0603,2,LED,CC2290,0.012,
"J1, J2, J3",HDMI_A_Amphenol_10029449-x01xLF_Horizontal,3,HDMI_A,C428493,1.4366,
"R1, R2",0402,2,47k,C25792,0.00008,
R3,0402,1,4.02k,C43251,0.0006,
"R4, R5",0402,2,4.7k,C25900,0.00008,
"R6, R7",0402,2,330,C25104,0.0009,
SW1,SW_SPDT_PCM12,1,SW_SPDT,C221841,1.18,
U1,PAG64,1,TMDS261BPAG,C2869633,3.4,
U2,JEITA_SOIC-8_3.9x4.9mm_P1.27mm,1,24LC02,C2987256,0.07,
U3,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC04,C5590,0.1594,
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186,0.2255,
