Designator,Mid X,Mid Y,Rotation,Layer
C1,106.638393,-78.58564,180.0,top
C2,112.0,-53.5,270.0,top
D1,129.0,-54.212499,270.0,top
D2,120.0,-51.787501,270.0,top
J1,136.725,-61.5,90.0,top
J2,122.965467,-77.400544,0.0,top
J3,104.775,-61.0,270.0,top
R1,118.492734,-69.276626,90.0,top
R2,128.333845,-66.251758,270.0,top
R3,114.441458,-53.268059,180.0,top
R4,112.677908,-51.204474,0.0,top
R5,116.505653,-53.152038,180.0,top
R6,129.059999,-56.3,180.0,top
R7,122.009999,-52.5,180.0,top
SW1,109.4,-46.2,180.0,top
U1,121.0,-61.0,270.0,top
U2,116.5,-49.0,270.0,top
U4,108.85,-74.0,180.0,top
